fecha,id_producto,nombre_producto,cantidad,precio_unit,total_venta
2023-08-02,7896041104011,Oderich Viandada ,1.0,10.0,10.0
2023-08-02,7772602002098,Avena Instantanea ,6.0,6.0,36.0
2023-08-02,chicharronsitos,chicharronsitos ,1.0,4.0,4.0
2023-08-02,1546,Galletas Crackers 1kg ,2.0,33.0,66.0
2023-08-02,7772618000248,Papas Fritas La Mejicana ,2.0,11.0,22.0
2023-08-02,3015,Queso ,1.0,72.0,72.0
2023-08-02,778678752278,tocino ,1.0,14.5,14.5
2023-08-02,3012,Comida para Mascota ,1.0,2.0,2.0
2023-08-02,1122,Arroz ,1.0,82.0,82.0
2023-08-02,3001,Pan ,17.5,0.5,8.75
2023-08-02,7775602130020, BOLSAS de  BASURA  65X80 Cm ,1.0,8.5,8.5
2023-08-02,7775005011599,Archer recarga de 2 l. ,1.0,28.0,28.0
2023-08-02,774,Colgate triple accion ,2.0,9.5,19.0
2023-08-02,7896007921256,Fosforo Fiat lux ,2.0,3.5,7.0
2023-08-02,7776570150256,Perlita institucional ,1.0,10.0,10.0
2023-08-02,7776570150393,perlita super ,2.0,20.0,40.0
2023-08-02,7804920007452,Shampoo Ballerina Detox ,1.0,15.0,15.0
2023-08-02,090388111214, Real Ensalada de Atun ,1.0,15.5,15.5
2023-08-02,1122,Arroz ,1.0,9.0,9.0
2023-08-02,7771430230017,Arroz pantanal ,1.0,9.0,9.0
2023-08-02,1101,Azucar Morena Guabira 1kg ,1.0,6.5,6.5
2023-08-02,7772905001620,biogurt mango ,1.0,15.5,15.5
2023-08-02,3012,Comida para Mascota ,1.0,11.5,11.5
2023-08-02,7772106006158,Maltin promo ,2.0,5.0,10.0
2023-08-02,3333,Masitas ,1.0,4.0,4.0
2023-08-02,7702026148812,Nosotras dia y noche ,1.0,10.0,10.0
2023-08-02,3018,Paquete Papel Higienico ,1.0,15.0,15.0
2023-08-02,7771259756019,Pilfrut manzana 190 ml. ,2.0,1.0,2.0
2023-08-02,3015,Queso ,1.0,10.5,10.5
2023-08-02,7913976,Sal ,1.0,5.0,5.0
2023-08-02,1282,BOM-BRIL ,1.0,5.0,5.0
2023-08-02,7898930672472,Folha de Aluminio ,1.0,14.0,14.0
2023-08-02,7772618000194,Nacho Jalapeño ,2.0,8.0,16.0
2023-08-02,3025,Paquete de Platos Desechables ,1.0,5.5,5.5
2023-08-02,3023,Paquete de Vasos desechables ,1.0,8.5,8.5
2023-08-02,3018,Paquete Papel Higienico ,1.0,38.0,38.0
2023-08-02,70000000057814,Pqte. Cucharillas de plastico ,4.0,1.5,6.0
2023-08-02,1122,Arroz ,1.0,9.0,9.0
2023-08-02,7771430230017,Arroz pantanal ,1.0,9.0,9.0
2023-08-02,1101,Azucar Morena Guabira 1kg ,1.0,6.5,6.5
2023-08-02,7772905001620,biogurt mango ,1.0,15.5,15.5
2023-08-02,3012,Comida para Mascota ,1.0,11.5,11.5
2023-08-02,7772106006158,Maltin promo ,2.0,5.0,10.0
2023-08-02,3333,Masitas ,1.0,4.0,4.0
2023-08-02,7702026148812,Nosotras dia y noche ,1.0,10.0,10.0
2023-08-02,3018,Paquete Papel Higienico ,1.0,15.0,15.0
2023-08-02,7771259756019,Pilfrut manzana 190 ml. ,2.0,1.0,2.0
2023-08-02,3015,Queso ,1.0,10.5,10.5
2023-08-02,7913976,Sal ,1.0,5.0,5.0
2023-08-02,7779970434056,hojas ,2.0,18.0,36.0
2023-08-02,7891173022882,Paquete Hojas Bond  t/Carta ,1.0,32.5,32.5
2023-08-02,7891173022929,Paquete Hojas Bond tamaño Oficio ,2.0,37.5,75.0
2023-08-02,7773103001535,Aceite FINO 5 lts. ,1.0,58.5,58.5
2023-08-02,1122,Arroz ,2.0,46.5,93.0
2023-08-02,113,Atun Desmenuzado Fino ,4.0,6.0,24.0
2023-08-02,3002,Azucar ,1.0,68.0,68.0
2023-08-02,7772905001903,Crema de Leche PIL ,1.0,29.0,29.0
2023-08-02,7750243045384,Detergente Bolivar 2.20 Kg. ,1.0,38.0,38.0
2023-08-02,7772905000029,Dulce de Leche PIL ,1.0,10.0,10.0
2023-08-02,3003,Harina ,3.0,7.5,22.5
2023-08-02,838,Leche PIL ,3.0,6.0,18.0
2023-08-02,7891000286449,Nescafe 230g. ,1.0,35.0,35.0
2023-08-02,3018,Paquete Papel Higienico ,2.0,25.0,50.0
2023-08-02,42538,MATERIAL DE LIMPIEZA ,1.0,40.0,40.0
2023-08-02,20222022,MATERIAL DE ESCRITORIO ,1.0,101.0,101.0
2023-08-02,7772830180599,esencia miki piña ,2.0,4.0,8.0
2023-08-02,7771259754343,Leche Bonle ,1.0,5.0,5.0
2023-08-02,3015,Queso ,1.0,15.0,15.0
2023-08-02,20222022,MATERIAL DE ESCRITORIO ,1.0,225.5,225.5
2023-08-02,7772500000493,Fideos con Quinua Lazzaroni ,3.0,6.5,19.5
2023-08-02,838,Leche PIL ,2.0,6.0,12.0
2023-08-02,3333,Masitas ,1.0,2.0,2.0
2023-08-02,7771223000384,Merenguitas 110g ,1.0,7.0,7.0
2023-08-02,7773400000194,Pan Molde ,1.0,11.0,11.0
2023-08-02,7771214002670,Pudin de Chocolate 1000 gr. KRIS ,1.0,29.0,29.0
2023-08-02,7891000241080,Purina Felix salmon en salsa ,3.0,5.0,15.0
2023-08-02,7773401003286,GALLETA ,1.0,6.5,6.5
2023-08-02,7702993025123,Gomitas trululu gusanos ,1.0,8.5,8.5
2023-08-02,7771224004114,Tampico 170 ml. ,20.0,1.0,20.0
2023-08-02,7773103001535,Aceite FINO 5 lts. ,1.0,58.5,58.5
2023-08-02,1122,Arroz ,1.0,46.5,46.5
2023-08-02,7771430110142,Arroz Grano Fino ,3.0,9.5,28.5
2023-08-02,3002,Azucar ,1.0,68.0,68.0
2023-08-02,7772905000029,Dulce de Leche PIL ,1.0,10.0,10.0
2023-08-02,fideo,Fideo ,1.0,62.0,62.0
2023-08-02,834,Leche con avena PIL ,1.0,7.0,7.0
2023-08-02,7771259751045,Leche Entera Pil ,3.0,7.5,22.5
2023-08-02,3018,Paquete Papel Higienico ,1.0,20.0,20.0
2023-08-02,7771609002827,Agua Vital 5lts. ,1.0,16.0,16.0
2023-08-02,3333,Masitas ,4.0,15.0,60.0
2023-08-02,3023,Paquete de Vasos desechables ,1.0,8.5,8.5
2023-08-02,7771259751328,Tampico  5 l. ,1.0,23.0,23.0
2023-08-02,1703,Helado Delizia Negrito ,5.0,2.5,12.5
2023-08-02,7771258730379,Leche entera eba ,1.0,5.5,5.5
2023-08-02,70000000256981,Mortadela ,1.0,9.5,9.5
2023-08-02,304,Nosotras Buenas Noches ,2.0,16.0,32.0
2023-08-02,7774900004293,Selfy-zid Hierbas Crema de Enjiague ,1.0,18.0,18.0
2023-08-02,7892840819507,Toddy original 370 g ,1.0,15.5,15.5
2023-08-02,1194,Yogurt ILVA ,1.0,16.5,16.5
2023-08-02,7754487000659,Aji no sillao Salsa de soya ,1.0,4.0,4.0
2023-08-02,7771430230079,Arroz pantanal khaja ,1.0,9.0,9.0
2023-08-02,1004,Atun San Lucas al agua ,1.0,5.5,5.5
2023-08-02,3002,Azucar ,1.0,28.5,28.5
2023-08-02,7898930142500,Cajamar 300 gr. ,2.0,5.0,10.0
2023-08-02,7771718070014,chocolike 2 kl ,1.0,52.0,52.0
2023-08-02,7774904286473,Detergente TODO BRILLO de 5KG ,1.0,62.5,62.5
2023-08-02,7750243049696,Don Vittorio ,2.0,7.5,15.0
2023-08-02,7896001044500,Esponja max ,1.0,4.0,4.0
2023-08-02,fideo,Fideo ,1.0,16.0,16.0
2023-08-02,278,FINO 1 lt ,1.0,12.0,12.0
2023-08-02,1027,Gelatina Kris Limon ,2.0,6.0,12.0
2023-08-02,7790828000346,Gigante jabon ,1.0,14.0,14.0
2023-08-02,195,Harina Princesa Blanca ,1.0,8.0,8.0
2023-08-02,77852255,Huevo ,1.0,27.0,27.0
